date,sentiment_label
2022-01-01,0.6710526315789473
2022-01-02,0.6301369863013698
2022-01-03,0.6118421052631579
2022-01-04,0.6311475409836066
2022-01-05,0.5822784810126582
2022-01-06,0.5113636363636364
2022-01-07,0.577922077922078
2022-01-08,0.5603448275862069
2022-01-09,0.5958904109589042
2022-01-10,0.5608108108108109
2022-01-11,0.5983606557377049
2022-01-12,0.553030303030303
2022-01-13,0.5769230769230769
2022-01-14,0.5566037735849056
2022-01-15,0.582089552238806
2022-01-16,0.6020408163265306
2022-01-17,0.5943396226415094
2022-01-18,0.6346153846153846
2022-01-19,0.6
2022-01-20,0.581081081081081
2022-01-21,0.46464646464646464
2022-01-22,0.5
2022-01-23,0.5205479452054794
2022-01-24,0.5473684210526316
2022-01-25,0.5344827586206896
2022-01-26,0.5304878048780488
2022-01-27,0.528169014084507
2022-01-28,0.5555555555555556
2022-01-29,0.6759259259259259
2022-01-30,0.5214285714285715
2022-01-31,0.5961538461538461
2022-02-01,0.6376811594202898
2022-02-02,0.5885416666666666
2022-02-03,0.5394736842105263
2022-02-04,0.6222222222222222
2022-02-05,0.63125
2022-02-06,0.6818181818181818
2022-02-07,0.5576923076923077
2022-02-08,0.5526315789473685
2022-02-09,0.5301204819277109
2022-02-10,0.47802197802197804
2022-02-11,0.6287878787878788
2022-02-12,0.6170212765957447
2022-02-13,0.5823529411764706
2022-02-14,0.6140350877192983
2022-02-15,0.4605263157894737
2022-02-16,0.5942028985507246
2022-02-17,0.578125
2022-02-18,0.5522388059701493
2022-02-19,0.5909090909090909
2022-02-20,0.5
2022-02-21,0.5273972602739726
2022-02-22,0.4897959183673469
2022-02-23,0.5657894736842105
2022-02-24,0.4642857142857143
2022-02-25,0.5873015873015873
2022-02-26,0.5673076923076923
2022-02-27,0.5289855072463768
2022-02-28,0.5375
2022-03-01,0.5573770491803278
2022-03-02,0.5714285714285714
2022-03-03,0.5735294117647058
2022-03-04,0.5208333333333334
2022-03-05,0.5849056603773585
2022-03-06,0.5982142857142857
2022-03-07,0.5434782608695652
2022-03-08,0.4657534246575342
2022-03-09,0.6333333333333333
2022-03-10,0.45
2022-03-11,0.5274725274725275
2022-03-12,0.4909090909090909
2022-03-13,0.5
2022-03-14,0.5483870967741935
2022-03-15,0.5785714285714286
2022-03-16,0.5563380281690141
2022-03-17,0.6
2022-03-18,0.6126760563380281
2022-03-19,0.6071428571428571
2022-03-20,0.6101694915254238
2022-03-21,0.5806451612903226
2022-03-22,0.615
2022-03-23,0.63
2022-03-24,0.5885416666666666
2022-03-25,0.6029411764705882
2022-03-26,0.6836734693877551
2022-03-27,0.6455696202531646
2022-03-28,0.5833333333333334
2022-03-29,0.47282608695652173
2022-03-30,0.6030927835051546
2022-03-31,0.5704225352112676
2022-04-01,0.5673076923076923
2022-04-02,0.6027397260273972
2022-04-03,0.6428571428571429
2022-04-04,0.6111111111111112
2022-04-05,0.6222222222222222
2022-04-06,0.668918918918919
2022-04-07,0.7012195121951219
2022-04-08,0.6474358974358975
2022-04-09,0.6190476190476191
2022-04-10,0.581081081081081
2022-04-11,0.5517241379310345
2022-04-12,0.53125
2022-04-13,0.5256410256410257
2022-04-14,0.53125
2022-04-15,0.5617977528089888
2022-04-16,0.5483870967741935
2022-04-17,0.6029411764705882
2022-04-18,0.5508474576271186
2022-04-19,0.5526315789473685
2022-04-20,0.573170731707317
2022-04-21,0.5555555555555556
2022-04-22,0.46875
2022-04-23,0.5955882352941176
2022-04-24,0.45652173913043476
2022-04-25,0.6076923076923076
2022-04-26,0.6058823529411764
2022-04-27,0.5538461538461539
2022-04-28,0.6440677966101694
2022-04-29,0.5220588235294118
2022-04-30,0.5444444444444444
2022-05-01,0.4520547945205479
2022-05-02,0.5967741935483871
2022-05-03,0.5784313725490197
2022-05-04,0.6705882352941176
2022-05-05,0.47435897435897434
2022-05-06,0.5740740740740741
2022-05-07,0.5217391304347826
2022-05-08,0.4930555555555556
2022-05-09,0.555
2022-05-10,0.47468354430379744
2022-05-11,0.4020618556701031
2022-05-12,0.4885057471264368
2022-05-13,0.5180722891566265
2022-05-14,0.4936708860759494
2022-05-15,0.5125
2022-05-16,0.5
2022-05-17,0.5866666666666667
2022-05-18,0.5543478260869565
2022-05-19,0.5454545454545454
2022-05-20,0.5149253731343284
2022-05-21,0.5357142857142857
2022-05-22,0.6089743589743589
2022-05-23,0.5444444444444444
2022-05-24,0.5491803278688525
2022-05-25,0.56
2022-05-26,0.5490196078431373
2022-05-27,0.5514705882352942
2022-05-28,0.6805555555555556
2022-05-29,0.5
2022-05-30,0.6568627450980392
2022-05-31,0.6231884057971014
2022-06-01,0.5978260869565217
2022-06-02,0.5303030303030303
2022-06-03,0.5416666666666666
2022-06-04,0.6442307692307693
2022-06-05,0.5909090909090909
2022-06-06,0.5909090909090909
2022-06-07,0.6271186440677966
2022-06-08,0.5686274509803921
2022-06-09,0.6118421052631579
2022-06-10,0.5833333333333334
2022-06-11,0.5491803278688525
2022-06-12,0.5540540540540541
2022-06-13,0.4125
2022-06-14,0.4186046511627907
2022-06-15,0.4759036144578313
2022-06-16,0.5246913580246914
2022-06-17,0.5517241379310345
2022-06-18,0.41150442477876104
2022-06-19,0.48484848484848486
2022-06-20,0.4791666666666667
2022-06-21,0.5978260869565217
2022-06-22,0.5149253731343284
2022-06-23,0.5576923076923077
2022-06-24,0.5328947368421053
2022-06-25,0.5652173913043478
2022-06-26,0.5636363636363636
2022-06-27,0.5211267605633803
2022-06-28,0.4878048780487805
2022-06-29,0.5120481927710844
2022-06-30,0.46825396825396826
2022-07-01,0.5
2022-07-02,0.4918032786885246
2022-07-03,0.5757575757575758
2022-07-04,0.5298507462686567
2022-07-05,0.3898305084745763
2022-07-06,0.56
2022-07-07,0.5522388059701493
2022-07-08,0.5714285714285714
2022-07-09,0.5689655172413793
2022-07-10,0.6213592233009708
2022-07-11,0.525974025974026
2022-07-12,0.5785123966942148
2022-07-13,0.5578512396694215
2022-07-14,0.5693430656934306
2022-07-15,0.6077586206896551
2022-07-16,0.574468085106383
2022-07-17,0.5121951219512195
2022-07-18,0.6604938271604939
2022-07-19,0.6044776119402985
2022-07-20,0.5487804878048781
2022-07-21,0.5916666666666667
2022-07-22,0.5533333333333333
2022-07-23,0.5546218487394958
2022-07-24,0.536697247706422
2022-07-25,0.6296296296296297
2022-07-26,0.5537190082644629
2022-07-27,0.5390070921985816
2022-07-28,0.553030303030303
2022-07-29,0.6062992125984252
2022-07-30,0.6055045871559633
2022-07-31,0.5988372093023255
2022-08-01,0.5542635658914729
2022-08-02,0.5695652173913044
2022-08-03,0.6083333333333333
2022-08-04,0.5932835820895522
2022-08-05,0.6160714285714286
2022-08-06,0.625
2022-08-07,0.59375
2022-08-08,0.5513698630136986
2022-08-09,0.5368852459016393
2022-08-10,0.5934579439252337
2022-08-11,0.6075
2022-08-12,0.595
2022-08-13,0.62
2022-08-14,0.5879396984924623
2022-08-15,0.5925
2022-08-16,0.6025
2022-08-17,0.5875
2022-08-18,0.6180904522613065
2022-08-19,0.5525
2022-08-20,0.5275
2022-08-21,0.5825
2022-08-22,0.54
2022-08-23,0.5775
2022-08-24,0.6475
2022-08-25,0.605
2022-08-26,0.555
2022-08-27,0.515
2022-08-28,0.5375
2022-08-29,0.5525
2022-08-30,0.5625
2022-08-31,0.56
2022-09-01,0.58
2022-09-02,0.5625
2022-09-03,0.5525
2022-09-04,0.5625
2022-09-05,0.6030150753768844
2022-09-06,0.565
2022-09-07,0.5725
2022-09-08,0.55
2022-09-09,0.61
2022-09-10,0.5975
2022-09-11,0.5925
2022-09-12,0.5675
2022-09-13,0.53
2022-09-14,0.5625
2022-09-15,0.5703517587939698
2022-09-16,0.545
2022-09-17,0.6
2022-09-18,0.4925
2022-09-19,0.515
2022-09-20,0.6
2022-09-21,0.6025
2022-09-22,0.48
2022-09-23,0.5575
2022-09-24,0.575
2022-09-25,0.5577889447236181
2022-09-26,0.51
2022-09-27,0.5725
2022-09-28,0.5425
2022-09-29,0.5525
2022-09-30,0.545
2022-10-01,0.550251256281407
2022-10-02,0.5075
2022-10-03,0.5825
2022-10-04,0.6206030150753769
2022-10-05,0.595
2022-10-06,0.5725
2022-10-07,0.5925
2022-10-08,0.55
2022-10-09,0.51
2022-10-10,0.565
2022-10-11,0.535
2022-10-12,0.565
2022-10-13,0.575
2022-10-14,0.59
2022-10-15,0.5525
2022-10-16,0.5675
2022-10-17,0.55
2022-10-18,0.57
2022-10-19,0.5925
2022-10-20,0.5653266331658291
2022-10-21,0.5552763819095478
2022-10-22,0.5804020100502513
2022-10-23,0.5525
2022-10-24,0.54
2022-10-25,0.5875
2022-10-26,0.58
2022-10-27,0.54
2022-10-28,0.565
2022-10-29,0.6075
2022-10-30,0.57
2022-10-31,0.615
2022-11-01,0.615
2022-11-02,0.5564102564102564
2022-11-03,0.585
2022-11-04,0.5825
2022-11-05,0.6075
2022-11-06,0.545
2022-11-07,0.5425
2022-11-08,0.445
2022-11-09,0.5083333333333333
2022-11-10,0.475
2022-11-11,0.475
2022-11-12,0.44
2022-11-13,0.4425
2022-11-14,0.4675
2022-11-15,0.5325
2022-11-16,0.5175879396984925
2022-11-17,0.5125
2022-11-18,0.4875
2022-11-19,0.5025125628140703
2022-11-20,0.5225
2022-11-21,0.47
2022-11-22,0.5325
2022-11-23,0.5225
2022-11-24,0.5325
2022-11-25,0.5825
2022-11-26,0.53
2022-11-27,0.52375
2022-11-28,0.5350877192982456
2022-11-29,0.495
2022-11-30,0.565
2022-12-01,0.515
2022-12-02,0.57
2022-12-03,0.55
2022-12-04,0.5375
2022-12-05,0.6
2022-12-06,0.615
2022-12-07,0.5475
2022-12-08,0.5525
2022-12-09,0.58
2022-12-10,0.5251256281407035
2022-12-11,0.5050251256281407
2022-12-12,0.5275
2022-12-13,0.53
2022-12-14,0.4875
2022-12-15,0.5
2022-12-16,0.48737373737373735
2022-12-17,0.53
2022-12-18,0.56
2022-12-19,0.585
2022-12-20,0.5775
2022-12-21,0.5725
2022-12-22,0.5580808080808081
2022-12-23,0.5402010050251256
2022-12-24,0.56
2022-12-25,0.585
2022-12-26,0.542713567839196
2022-12-27,0.545
2022-12-28,0.54
2022-12-29,0.5888324873096447
2022-12-30,0.6025
2022-12-31,0.66
2023-01-01,0.545
2023-01-02,0.5376884422110553
2023-01-03,0.6075
2023-01-04,0.6275
2023-01-05,0.575
2023-01-06,0.5925
2023-01-07,0.66
2023-01-08,0.575
2023-01-09,0.565
2023-01-10,0.59
2023-01-11,0.6
2023-01-12,0.6625
2023-01-13,0.5875
2023-01-14,0.62
2023-01-15,0.625
2023-01-16,0.6742424242424242
2023-01-17,0.6125
2023-01-18,0.585
2023-01-19,0.5276381909547738
2023-01-20,0.6457286432160804
2023-01-21,0.595
2023-01-22,0.585
2023-01-23,0.615
2023-01-24,0.585
2023-01-25,0.575
2023-01-26,0.63
2023-01-27,0.6256281407035176
2023-01-28,0.5925
2023-01-29,0.6130653266331658
2023-01-30,0.62
2023-01-31,0.5804020100502513
2023-02-01,0.6388888888888888
2023-02-02,0.5954773869346733
2023-02-03,0.5804020100502513
2023-02-04,0.5825
2023-02-05,0.5925
2023-02-06,0.595
2023-02-07,0.601010101010101
2023-02-08,0.6080402010050251
2023-02-09,0.565
2023-02-10,0.5825
2023-02-11,0.6225
2023-02-12,0.555
2023-02-13,0.5725
2023-02-14,0.61
2023-02-15,0.6175
2023-02-16,0.6075
2023-02-17,0.605
2023-02-18,0.6125
2023-02-19,0.62
2023-02-20,0.6377551020408163
2023-02-21,0.6130653266331658
2023-02-22,0.595
2023-02-23,0.6331658291457286
2023-02-24,0.6035353535353535
2023-02-25,0.595
2023-02-26,0.57
2023-02-27,0.59
2023-02-28,0.6030150753768844
2023-03-01,0.5775
2023-03-02,0.6105527638190955
2023-03-03,0.575
2023-03-04,0.6
2023-03-05,0.5681818181818182
2023-03-06,0.5925
2023-03-07,0.6
2023-03-08,0.5675
2023-03-09,0.525
2023-03-10,0.44221105527638194
2023-03-11,0.5125
2023-03-12,0.54
2023-03-13,0.5477386934673367
2023-03-14,0.6025
2023-03-15,0.535
2023-03-16,0.5625
2023-03-17,0.592964824120603
2023-03-18,0.582901554404145
2023-03-19,0.5026178010471204
2023-03-20,0.5859375
2023-03-21,0.5456852791878173
2023-03-22,0.5532994923857868
2023-03-23,0.5525
2023-03-24,0.5425
2023-03-25,0.5825
2023-03-26,0.58
2023-03-27,0.5675
2023-03-28,0.5
2023-03-29,0.6
2023-03-30,0.5875
2023-03-31,0.5707070707070707
2023-04-01,0.61
2023-04-02,0.5577889447236181
2023-04-03,0.555
2023-04-04,0.5675
2023-04-05,0.5975
2023-04-06,0.6075
2023-04-07,0.5825
2023-04-08,0.59
2023-04-09,0.605
2023-04-10,0.51
2023-04-11,0.6425
2023-04-12,0.5925
2023-04-13,0.6130653266331658
2023-04-14,0.6375
2023-04-15,0.5925
2023-04-16,0.555
2023-04-17,0.5725
2023-04-18,0.5625
2023-04-19,0.57
2023-04-20,0.64
2023-04-21,0.545
2023-04-22,0.545
2023-04-23,0.605
2023-04-24,0.625
2023-04-25,0.5875
2023-04-26,0.575
2023-04-27,0.5975
2023-04-28,0.585
2023-04-29,0.6
2023-04-30,0.645
2023-05-01,0.57
2023-05-02,0.54
2023-05-03,0.5375
2023-05-04,0.6225
2023-05-05,0.6375
2023-05-06,0.55
2023-05-07,0.57
2023-05-08,0.4825
2023-05-09,0.5577889447236181
2023-05-10,0.58
2023-05-11,0.57
2023-05-12,0.5725
2023-05-13,0.62
2023-05-14,0.595
2023-05-15,0.64
2023-05-16,0.62
2023-05-17,0.6256281407035176
2023-05-18,0.635
2023-05-19,0.63
2023-05-20,0.5979899497487438
2023-05-21,0.615
2023-05-22,0.685
2023-05-23,0.6075
2023-05-24,0.56
2023-05-25,0.565
2023-05-26,0.625
2023-05-27,0.605
2023-05-28,0.63
2023-05-29,0.6457286432160804
2023-05-30,0.6525
2023-05-31,0.6125
2023-06-01,0.6375
2023-06-02,0.685
2023-06-03,0.545
2023-06-04,0.63
2023-06-05,0.5875
2023-06-06,0.5804020100502513
2023-06-07,0.5675
2023-06-08,0.555
2023-06-09,0.59
2023-06-10,0.5266666666666666
2023-06-11,0.5775
2023-06-12,0.5775
2023-06-13,0.5808080808080808
2023-06-14,0.545
2023-06-15,0.575
2023-06-16,0.61
2023-06-17,0.565
2023-06-18,0.61
2023-06-19,0.575
2023-06-20,0.535
2023-06-21,0.675
2023-06-22,0.635
